,City,Latitude,Longitude,Temperature,Humidity,cloudiness,windspeed,Country,Dates
285,Oudtshoorn,-33.5907,22.2014,50.0,87,0,3.44,ZA,1619830015
286,Lompoc,34.6391,-120.4579,56.05,87,90,11.5,US,1619830015
287,Dalvik,65.9702,-18.5286,32.0,93,90,6.91,IS,1619830015
288,Kavieng,-2.5744,150.7967,84.61,66,83,4.56,PG,1619830016
289,Derzhavīnsk,51.1,66.3167,44.29,62,5,5.86,KZ,1619830016
290,Eidsvåg,62.7767,8.0668,34.7,80,40,2.04,NO,1619830017
291,Vostok,46.4856,135.8833,50.14,44,0,6.82,RU,1619830017
292,São Félix do Xingu,-6.6447,-51.995,71.98,91,80,2.73,BR,1619830018
293,Santa Rosa,14.3122,121.1114,85.98,66,20,5.75,PH,1619829937
294,Parabel',58.6978,81.4825,39.16,79,19,9.75,RU,1619830018
295,Naze,28.3667,129.4833,75.2,78,75,21.85,JP,1619830019
296,Haines Junction,60.7522,-137.5108,46.4,42,100,14.97,CA,1619829858
297,Ankpa,7.3706,7.6253,76.6,80,82,9.51,NG,1619830019
298,Sinnamary,5.3833,-52.95,75.47,92,100,10.83,GF,1619829881
299,Tigil',57.8,158.6667,41.31,74,91,6.98,RU,1619829823
300,Dongsheng,39.8161,109.9776,51.06,30,100,6.26,CN,1619830020
301,Mount Gambier,-37.8333,140.7667,60.8,51,100,12.66,AU,1619830020
302,Kristiansund,63.1115,7.732,33.8,80,40,2.68,NO,1619830020
303,Ierapetra,35.01,25.7353,73.08,52,0,4.61,GR,1619830021
304,San Ignacio,17.1561,-89.0714,91.4,52,20,9.22,BZ,1619830021
305,Águilas,37.4063,-1.5829,57.79,63,100,5.99,ES,1619829796
306,Bathsheba,13.2167,-59.5167,78.8,65,40,12.66,BB,1619829992
307,Cap Estate,14.0833,-60.95,78.96,69,20,12.66,LC,1619830022
308,Talnakh,69.4865,88.3972,23.34,81,13,2.77,RU,1619830022
309,Zeya,53.75,127.2667,44.87,41,100,1.16,RU,1619829803
310,Antofagasta,-23.65,-70.4,60.8,82,40,9.22,CL,1619829963
311,Luoyang,34.6836,112.4536,62.89,43,0,5.77,CN,1619829850
312,Inta,66.0317,60.1659,31.71,63,70,12.15,RU,1619830023
313,Anloga,5.7947,0.8973,82.4,83,20,8.05,GH,1619830023
314,Chanderi,24.7167,78.1333,85.78,15,92,4.65,IN,1619830024
315,Kumul,42.8,93.45,75.69,11,67,8.21,CN,1619830024
316,Payakumbuh,-0.2202,100.6308,73.83,92,88,0.49,ID,1619830025
317,Weatherford,32.7593,-97.7972,63.7,94,100,3.0,US,1619829738
318,Vao,-22.6667,167.4833,74.46,70,100,23.47,NC,1619830025
319,Katsuura,35.1333,140.3,67.46,72,40,6.91,JP,1619829986
320,Amānganj,24.4333,80.0333,86.95,16,97,2.46,IN,1619830026
321,Kandrian,-6.2167,149.55,85.66,67,43,7.36,PG,1619830026
322,Hofn,64.2539,-15.2082,35.8,64,100,9.86,IS,1619830027
323,Liverpool,53.4106,-2.9779,40.15,87,31,4.61,GB,1619830027
324,Craig,40.5153,-107.5464,76.32,14,1,6.91,US,1619829790
325,Taretán,19.3333,-101.9167,75.02,41,90,6.91,MX,1619830028
326,Dosso,13.049,3.1937,87.94,19,2,4.68,NE,1619830028
327,Itarema,-2.9248,-39.9167,77.04,88,37,8.12,BR,1619830028
328,Ust-Nera,64.5667,143.2,37.06,98,95,1.74,RU,1619830029
329,Changli,39.7042,119.1506,55.53,40,100,8.7,CN,1619830029
330,Sakakah,29.9697,40.2064,75.2,16,0,14.97,SA,1619830030
331,Lianzhou,24.7811,112.3825,76.44,64,99,0.13,CN,1619830030
332,Pinega,64.7001,43.3936,32.9,83,100,3.24,RU,1619830031
333,Darhan,49.4867,105.9228,48.33,40,100,10.0,MN,1619830031
334,Coyhaique,-45.5752,-72.0662,50.0,87,75,4.61,CL,1619829878
335,Bushenyi,-0.5853,30.2114,56.66,93,100,0.38,UG,1619830032
336,Mogadishu,2.0371,45.3438,81.79,71,19,8.57,SO,1619830032
337,Dūsi,12.7667,79.6833,80.6,83,40,3.56,IN,1619830033
338,Bradford,53.7939,-1.7521,37.4,50,13,3.87,GB,1619830033
339,Torbay,47.6666,-52.7314,36.28,100,90,14.97,CA,1619829950
340,Qaqortoq,60.7167,-46.0333,50.0,29,34,24.16,GL,1619830034
341,Nabire,-3.3667,135.4833,85.48,65,84,2.42,ID,1619830034
342,Vanavara,60.34,102.2797,38.71,72,15,9.26,RU,1619830035
343,Boyolangu,-8.1181,111.8935,79.83,80,92,1.79,ID,1619830036
344,Knysna,-34.0363,23.0471,50.0,87,0,3.44,ZA,1619830036
345,Valera,9.3178,-70.6036,70.83,92,100,3.0,VE,1619830037
346,Parkes,-33.1333,148.1833,75.0,45,0,3.0,AU,1619830037
347,Jackson,42.4165,-122.8345,76.3,15,1,10.36,US,1619829914
348,Guasdualito,7.2424,-70.7324,71.01,97,100,1.36,VE,1619830038
349,Palana,59.1167,159.9667,30.43,89,94,6.96,RU,1619830038
350,Nouadhibou,20.931,-17.0347,65.71,91,0,19.24,MR,1619829995
351,Aklavik,68.2191,-135.0107,34.65,64,100,6.91,CA,1619829739
352,Ribeira Grande,38.5167,-28.7,60.06,77,100,10.89,PT,1619830039
353,Rawlins,41.7911,-107.2387,75.2,11,1,17.27,US,1619829961
354,Radovitskiy,55.1282,39.7956,50.0,100,100,9.8,RU,1619830039
355,Kununurra,-15.7667,128.7333,86.0,35,0,6.91,AU,1619829892
356,Voh,-20.9667,164.7,80.49,55,94,6.15,NC,1619830040
357,Sakété,6.7362,2.6587,84.2,79,20,11.5,BJ,1619830040
358,Serramanna,39.4244,8.9244,61.36,88,0,2.3,IT,1619830041
359,Krasnosel'kup,65.7,82.4667,31.24,92,100,11.92,RU,1619829826
360,Hambantota,6.1241,81.1185,75.2,100,20,2.3,LK,1619830041
361,Ugoofaaru,5.6667,73.0,82.87,74,72,5.66,MV,1619830042
362,Cabedelo,-6.9811,-34.8339,75.2,100,20,5.75,BR,1619830042
363,Moindou,-21.6924,165.677,80.6,50,0,14.97,NC,1619830043
364,Samoded,63.6083,40.5111,29.5,83,52,4.59,RU,1619830043
365,Behbahān,30.5959,50.2417,66.2,37,0,4.16,IR,1619829923
366,Maniitsoq,65.4167,-52.9,34.54,77,92,4.38,GL,1619830043
367,Roscrea,52.9511,-7.8017,34.02,89,4,2.15,IE,1619830044
368,Tessalit,20.1986,1.0114,80.71,33,86,22.59,ML,1619830044
369,Mühlacker,48.95,8.8333,41.94,96,100,0.63,DE,1619830044
370,Kalyazin,57.2403,37.8433,42.35,92,100,12.39,RU,1619830045
371,Sumbe,-11.2061,13.8437,78.84,84,100,2.68,AO,1619830045
372,Springdale,36.1867,-94.1288,76.64,36,1,3.44,US,1619829929
373,Encruzilhada do Sul,-30.5439,-52.5219,54.99,75,0,3.69,BR,1619830046
374,Chardara,41.2547,67.9692,56.3,74,100,10.02,KZ,1619830046
375,Malinyi,-8.9333,36.1333,70.86,96,100,0.69,TZ,1619830046
376,Ostrovnoy,68.0531,39.5131,16.3,81,100,5.84,RU,1619830047
377,Lázaro Cárdenas,17.9583,-102.2,79.25,72,100,8.21,MX,1619830047
378,Nagtipunan,16.2167,121.6,87.46,49,85,2.33,PH,1619830048
379,Cherskiy,68.75,161.3,18.54,81,78,1.95,RU,1619829893
380,Cortland,42.6001,-76.083,35.85,87,90,16.11,US,1619830048
381,Kieta,-6.2167,155.6333,84.11,72,27,4.74,PG,1619830049
382,Saint-Augustin,51.226,-58.6502,39.76,83,100,18.32,CA,1619829848
383,Peterborough,52.5736,-0.2478,38.05,87,10,5.75,GB,1619830049
384,West Plains,36.7281,-91.8524,77.0,25,1,5.75,US,1619830050
385,São Miguel do Araguaia,-13.275,-50.1628,73.58,82,100,4.12,BR,1619830050
386,Gazojak,41.1875,61.4036,59.58,42,94,16.04,TM,1619830050
387,Hasaki,35.7333,140.8333,68.67,72,75,8.05,JP,1619830051
388,Saravan,39.7196,45.6483,47.53,76,100,6.4,AM,1619830051
389,Berlevåg,70.8578,29.0864,33.48,72,100,27.63,NO,1619830031
390,Fare,-16.7,-151.0167,81.21,73,100,8.79,PF,1619830052
391,Ghanzi,-21.5667,21.7833,59.02,40,0,10.13,BW,1619830052
392,Praxédis Guerrero,31.3667,-106.0167,66.79,48,75,18.41,MX,1619830053
393,Petropavlovsk-Kamchatskiy,53.0452,158.6483,37.4,100,90,13.42,RU,1619830053
394,Nauta,-4.5061,-73.5757,71.98,97,99,1.3,PE,1619829829
395,Meulaboh,4.1363,96.1285,78.03,85,100,3.29,ID,1619830054
396,Weligama,5.9667,80.4167,78.21,85,50,1.21,LK,1619830054
397,Half Moon Bay,37.4636,-122.4286,58.6,87,90,13.8,US,1619830055
398,Dunda,-8.1167,34.25,61.74,96,37,1.74,TZ,1619830055
399,Alice Springs,-23.7,133.8833,76.17,24,76,8.05,AU,1619830056
400,Manaure,11.7751,-72.4445,81.41,69,100,10.49,CO,1619830056
401,Asekeyevo,53.5742,52.7972,47.26,63,100,11.74,RU,1619830056
402,Comodoro Rivadavia,-45.8667,-67.5,64.4,59,0,2.3,AR,1619830057
403,Itambé,-15.245,-40.6244,67.69,96,100,5.08,BR,1619830057
404,Nhulunbuy,-12.2333,136.7667,86.0,66,75,16.11,AU,1619830058
405,Gushikawa,26.3544,127.8686,77.45,78,75,16.11,JP,1619830058
406,Harper,4.375,-7.7169,81.03,77,100,5.3,LR,1619830059
407,Kozluk,38.1938,41.4885,60.8,82,75,4.61,TR,1619830059
408,Yerbogachën,61.2767,108.0108,36.25,95,100,8.93,RU,1619830059
409,Geraldton,-28.7667,114.6,62.6,39,95,13.8,AU,1619829993
410,Zárate,-34.0981,-59.0286,57.67,68,0,1.01,AR,1619830060
411,Kapit,2.0167,112.9333,73.76,99,100,0.85,MY,1619830060
412,Seoul,37.5683,126.9778,52.41,71,75,6.91,KR,1619829820
413,Hobyo,5.3505,48.5268,83.25,68,100,6.98,SO,1619830061
414,Safranbolu,41.2508,32.6942,54.68,87,55,0.74,TR,1619830061
415,Aksarka,66.5606,67.7975,13.68,92,56,2.71,RU,1619830062
416,Disna,55.568,28.1971,34.75,93,7,4.68,BY,1619830062
417,Paranhos,-23.8928,-55.4311,61.2,51,0,5.61,BR,1619830063
418,Yarmouth,41.7057,-70.2286,56.7,41,1,17.27,US,1619830063
419,Pershotravneve,51.3929,28.8684,45.05,93,70,5.88,UA,1619830064
420,Charter Township of Clinton,42.587,-82.9199,50.77,32,1,12.66,US,1619829789
421,Neryungri,56.6709,124.6491,33.13,95,100,1.21,RU,1619830064
422,Noumea,-22.2763,166.4572,80.6,50,0,14.97,NC,1619830065
423,Northam,51.0333,-4.2167,36.36,1,16,5.44,GB,1619829906
424,Gravdal,68.1214,13.5031,34.52,56,99,9.01,NO,1619830065
425,Menongue,-14.6585,17.691,61.77,89,93,1.52,AO,1619829843
426,Byron Bay,-28.65,153.6167,66.49,68,40,12.66,AU,1619830066
427,Tommot,58.9564,126.2925,36.99,99,100,0.83,RU,1619830066
428,Kajaani,64.2273,27.7285,26.6,74,20,8.05,FI,1619830067
429,Pilar,-9.5972,-35.9567,78.8,78,40,4.61,BR,1619830067
430,Chingola,-12.529,27.8838,60.96,96,99,1.36,ZM,1619830068
431,Deep River,46.1001,-77.4995,35.6,69,90,25.32,CA,1619830068
432,Yanam,16.7333,82.2167,80.6,89,40,4.61,IN,1619829920
433,Puchezh,56.9788,43.1676,46.81,96,100,15.21,RU,1619830069
434,Yeniseysk,58.4497,92.1703,41.81,84,8,8.19,RU,1619829870
435,Mezhova,48.2532,36.7347,52.48,86,98,8.37,UA,1619830069
436,Iwanai,42.9744,140.5089,48.33,73,48,6.98,JP,1619830070
437,Grand Gaube,-20.0064,57.6608,77.0,79,100,5.99,MU,1619830070
438,Korem,12.5058,39.5228,54.61,82,97,2.93,ET,1619830071
439,Atambua,-9.1061,124.8925,80.69,64,50,2.73,ID,1619830071
440,Kurduvādi,18.0833,75.4333,87.03,29,90,6.17,IN,1619830072
441,Nishifukuma,33.7667,130.4667,68.4,56,40,10.36,JP,1619830072
442,Lensk,60.7253,114.9278,40.73,73,23,3.65,RU,1619830073
443,Mel'nikovo,56.5558,84.085,39.33,77,4,4.61,RU,1619830073
444,Banes,20.9625,-75.7186,80.6,61,20,14.97,CU,1619830030
445,Pawa,13.1747,123.7328,83.91,64,87,4.74,PH,1619830074
446,Vestmannaeyjar,63.4427,-20.2734,37.69,95,66,10.89,IS,1619830074
447,Kishtwār,33.3167,75.7667,54.97,64,100,5.06,IN,1619830075
448,Cartagena,10.3997,-75.5144,82.4,74,75,6.91,CO,1619829869
449,Nemuro,43.3236,145.575,46.4,61,75,17.27,JP,1619830075
450,Viedma,-40.8135,-62.9967,68.43,46,100,17.63,AR,1619830076
451,Saint Anthony,45.0205,-93.218,58.08,26,1,8.05,US,1619830076
452,Caravelas,-17.7125,-39.2481,75.87,67,100,13.87,BR,1619829992
453,Nang Rong,14.6377,102.7914,77.65,100,40,0.89,TH,1619830077
454,Alyangula,-13.8483,136.4192,84.2,79,40,6.91,AU,1619830077
455,Gore,-46.1028,168.9436,54.0,74,89,5.01,NZ,1619830078
456,Along,28.1667,94.7667,71.94,71,63,1.07,IN,1619830078
457,Måløy,61.9353,5.1136,39.09,65,13,4.61,NO,1619830079
458,Zyryanka,65.75,150.85,36.28,82,100,4.81,RU,1619830079
459,Winnemucca,40.973,-117.7357,84.2,9,1,13.8,US,1619829932
460,Chapleau,47.8405,-83.4034,42.8,31,1,5.75,CA,1619830080
461,Pacific Grove,36.6177,-121.9166,55.44,63,40,10.36,US,1619829932
462,Ondangwa,-17.9167,15.95,69.22,60,46,6.17,NA,1619830082
463,Nanyamba,-10.6833,39.8333,69.69,99,46,3.11,TZ,1619830082
464,Perth,-31.9333,115.8333,58.77,62,0,9.22,AU,1619830013
465,Malkara,40.89,26.9011,58.23,78,64,3.51,TR,1619830083
466,Mabaruma,8.2,-59.7833,74.61,90,24,3.4,GY,1619830083
467,Sand Springs,36.1398,-96.1089,78.6,31,1,3.44,US,1619830084
468,Angoche,-16.2325,39.9086,76.17,86,0,2.33,MZ,1619830084
469,Piscu Vechi,43.9,23.1667,57.6,88,100,3.11,RO,1619830084
470,Kruisfontein,-34.0033,24.7314,52.07,70,0,6.62,ZA,1619829868
471,California City,35.1258,-117.9859,92.16,10,1,19.57,US,1619830085
472,Cauquenes,-35.9671,-72.3225,56.26,78,100,8.34,CL,1619830085
473,Tavistock,50.5494,-4.1442,36.05,92,22,5.26,GB,1619830086
474,Bilma,18.6853,12.9164,82.74,6,0,8.79,NE,1619830086
475,Firovo,57.4814,33.7021,32.97,92,12,6.82,RU,1619830087
476,Ōmagari,39.45,140.4833,53.6,66,40,8.05,JP,1619830087
477,Mwanza,-2.5167,32.9,67.95,86,100,6.24,TZ,1619829862
478,Zlatoust,55.1711,59.6508,34.86,72,100,5.17,RU,1619830088
479,Pandharpur,17.6667,75.3333,85.78,33,59,2.21,IN,1619830088
480,Pankrushikha,53.8319,80.3406,46.29,59,68,7.52,RU,1619830088
481,San Andrés,12.5847,-81.7006,82.4,69,20,6.91,CO,1619830004
482,Williston,48.147,-103.618,79.3,17,97,7.0,US,1619829962
483,Pámfila,39.1567,26.5217,64.4,77,0,2.3,GR,1619830090
484,Kushiro,42.975,144.3747,50.0,57,20,6.91,JP,1619830091
485,Plaster Rock,46.9065,-67.39,39.63,81,90,10.36,CA,1619829797
486,St. George's,12.0564,-61.7485,78.8,83,40,11.5,GD,1619830092
487,Shimorskoye,55.3244,42.0267,52.39,87,100,17.16,RU,1619830092
488,Hare Bay,48.8499,-54.0148,41.36,81,100,1.14,CA,1619830093
489,Chengde,40.9725,117.9361,53.26,27,0,11.99,CN,1619830094
490,Morón,-34.6534,-58.6198,65.08,75,6,4.81,AR,1619830094
491,Portland,45.5234,-122.6762,65.68,59,90,3.44,US,1619829801
492,Bogorodskoye,56.55,37.8833,44.91,90,100,10.2,RU,1619830095
493,Qingdao,36.0986,120.3719,51.8,71,0,6.71,CN,1619830097
494,Ozernovskiy,51.5,156.5167,40.26,70,100,4.54,RU,1619830098
495,Marathon,44.9,-89.7668,55.49,23,1,8.05,US,1619830099
496,Voyvozh,62.892,54.9635,33.28,74,100,10.42,RU,1619830099
497,Changping,40.2186,116.2197,60.8,25,0,8.95,CN,1619830100
498,Fairmont,39.4851,-80.1426,48.13,64,5,5.01,US,1619830100
499,São João da Barra,-21.6403,-41.0511,68.9,75,100,9.48,BR,1619830100
500,Bubaque,11.2833,-15.8333,78.85,68,31,14.14,GW,1619830101
501,Methóni,36.8197,21.7049,61.95,71,77,3.44,GR,1619830101
502,Sisimiut,66.9395,-53.6735,33.94,84,100,1.83,GL,1619829991
503,Moree,-29.4667,149.85,73.4,46,3,13.8,AU,1619830102
504,Port-Cartier,50.0334,-66.8654,42.66,87,90,9.22,CA,1619830102
505,Puerto Escondido,15.85,-97.0667,82.4,74,40,7.14,MX,1619830103
506,Yangambi,0.8102,24.4336,69.31,99,100,1.83,CD,1619830103
507,La Ronge,55.1001,-105.2842,68.0,28,17,6.91,CA,1619830103
508,Scarborough,54.2797,-0.4044,36.23,88,79,9.44,GB,1619830104
509,Colac,-38.3333,143.5833,62.01,62,100,9.4,AU,1619830104
510,Bogdanovich,56.7803,62.0494,34.99,73,100,6.91,RU,1619830104
511,Sinop Province,41.7711,34.8709,55.13,78,55,6.71,TR,1619829969
512,Anastácio,-20.4836,-55.8069,70.9,38,0,3.91,BR,1619830105
513,Mitú,1.1983,-70.1733,71.01,99,91,2.42,CO,1619830105
514,Tongchuanshi,35.0806,109.0897,69.04,25,0,3.24,CN,1619830106
515,Rawson,-43.3002,-65.1023,65.32,34,100,3.71,AR,1619830106
516,Seddon,-37.8068,144.8916,70.66,46,100,13.8,AU,1619830107
517,Bereket,39.2446,55.5154,70.18,43,0,16.06,TM,1619830107
518,Alofi,-19.0595,-169.9187,77.0,94,100,6.91,NU,1619829971
519,Port Hardy,50.6996,-127.4199,51.1,87,75,2.3,CA,1619830108
520,Cururupu,-1.8283,-44.8683,73.81,95,68,2.15,BR,1619830095
521,Kalmunai,7.4167,81.8167,79.3,83,38,5.97,LK,1619830108
522,Mulchén,-37.7167,-72.2333,57.16,76,100,7.29,CL,1619830109
523,Irun,43.339,-1.7894,50.14,87,75,5.75,ES,1619830109
524,Torrox,36.7579,-3.9523,58.17,62,100,5.01,ES,1619830109
525,Nome,64.5011,-165.4064,25.23,68,75,11.5,US,1619830012
526,La Santisima Trinidad,-14.8333,-64.9,66.78,75,1,2.62,BO,1619830110
527,Kawalu,-7.3817,108.2082,79.11,76,42,1.57,ID,1619830110
528,Burnie,-41.0667,145.9167,64.0,66,100,4.0,AU,1619830111
529,Yangi Marg`ilon,40.4272,71.7189,64.4,55,53,4.61,UZ,1619830111
530,Prome,18.8167,95.2167,84.07,64,11,4.56,MM,1619830112
531,Pathein,16.7833,94.7333,83.16,70,11,3.22,MM,1619829842
532,Le Vauclin,14.5452,-60.8388,75.0,78,20,4.61,MQ,1619830112
533,Abu Samrah,35.3029,37.1841,66.58,37,0,4.72,SY,1619830113
534,Severo-Kuril'sk,50.6789,156.125,35.26,96,100,22.77,RU,1619830113
535,Pemangkat,1.1667,108.9667,79.39,81,91,4.97,ID,1619830114
536,Ocampo,21.65,-101.5,73.89,20,58,17.85,MX,1619830114
537,Toro,4.6117,-76.0814,69.8,88,40,2.3,CO,1619830114
538,Camaná,-16.6228,-72.7111,66.52,84,82,7.05,PE,1619830115
539,Bulungu,-4.55,18.6,70.9,97,100,1.52,CD,1619830116
540,Shilong,23.1123,113.8425,77.68,83,40,4.47,CN,1619830116
541,Ilave,-16.0833,-69.6667,38.48,64,10,3.98,PE,1619830116
542,Rovaniemi,66.5,25.7167,21.2,86,90,6.91,FI,1619830117
543,Meadow Lake,34.8014,-106.5436,75.79,16,20,8.05,US,1619830117
544,Tautira,-17.7333,-149.15,84.09,70,75,11.5,PF,1619830117
545,Tuckahoe,37.5901,-77.5564,59.7,32,75,13.8,US,1619830077
546,Teknāf,20.8624,92.3058,80.11,78,15,1.99,BD,1619830118
547,Muromtsevo,56.3724,75.2418,39.16,67,25,13.06,RU,1619830119
548,Macamic,48.7502,-78.9996,28.4,69,75,14.97,CA,1619830119
549,El Carmen de Bolívar,9.7174,-75.1202,75.83,82,100,4.5,CO,1619830120
550,Asău,46.4333,26.4,52.0,59,100,4.81,RO,1619830120
551,Port Lincoln,-34.7333,135.8667,74.52,35,99,19.39,AU,1619830042
552,Ulaanbaatar,47.9077,106.8832,41.0,33,75,17.9,MN,1619830121
553,Sibut,5.718,19.0739,72.57,85,100,3.27,CF,1619830121
554,Wawa,9.9022,4.4192,84.13,57,3,10.45,NG,1619830061
555,Amahai,-3.3333,128.9167,84.65,67,68,2.91,ID,1619830121
556,Serik,36.9169,31.0989,64.4,72,0,2.3,TR,1619830122
557,Arteaga,18.4667,-102.4167,71.62,52,100,6.53,MX,1619830122
558,Williamsburg,37.2707,-76.7075,65.86,37,75,17.27,US,1619830037
559,São Gabriel da Cachoeira,-0.1303,-67.0892,72.54,97,100,2.3,BR,1619830123
560,Piaçabuçu,-10.4056,-36.4344,77.2,85,98,12.41,BR,1619830123
561,Khovd,48.0056,91.6419,62.56,26,100,9.86,MN,1619829940
562,Mehrān,33.1222,46.1646,60.8,36,0,2.3,IR,1619830123
563,Oddur,4.1213,43.8894,73.94,81,96,6.91,SO,1619830124
564,Waipawa,-41.4122,175.5153,56.1,67,90,18.41,NZ,1619830125
565,Brigantine,39.4101,-74.3646,56.73,35,1,25.32,US,1619830125
566,Tocopilla,-22.092,-70.1979,67.1,70,12,8.41,CL,1619830125
567,Bartica,6.4,-58.6167,77.0,94,20,4.61,GY,1619830126
568,Provincia di Campobasso,41.6333,14.5833,58.96,81,100,5.7,IT,1619829922
569,Rocha,-34.4833,-54.3333,55.0,76,100,6.51,UY,1619830126
